"","F074.IPC.VAR.Z.Z.C.M","F074.IPCSAE.VAR.Z.Z.C.M"
"englishTitle","Historical Headline CPI, monthly variation","Historical IPCSAE, monthly variation"
"frequency","MONTHLY","MONTHLY"
"observed","AVERAGED","AVERAGED"
"01-01-1983","1.8",NA
"01-02-1983","0.1",NA
"01-03-1983","1.9",NA
"01-04-1983"," 3",NA
"01-05-1983","1.4",NA
"01-06-1983","1.6",NA
"01-07-1983","1.9",NA
"01-08-1983","2.7",NA
"01-09-1983","2.3",NA
"01-10-1983","2.4",NA
"01-11-1983","1.3",NA
"01-12-1983","0.6",NA
"01-01-1984","0.1",NA
"01-02-1984","-0.2",NA
"01-03-1984","2.5",NA
"01-04-1984","1.5",NA
"01-05-1984","1.2",NA
"01-06-1984","1.3",NA
"01-07-1984","0.9",NA
"01-08-1984","0.3",NA
"01-09-1984","2.9",NA
"01-10-1984","8.2",NA
"01-11-1984","1.2",NA
"01-12-1984","1.4",NA
"01-01-1985","3.1",NA
"01-02-1985"," 2",NA
"01-03-1985","2.8",NA
"01-04-1985","2.3",NA
"01-05-1985"," 2",NA
"01-06-1985","3.7",NA
"01-07-1985","1.3",NA
"01-08-1985","0.9",NA
"01-09-1985","1.2",NA
"01-10-1985","1.5",NA
"01-11-1985","1.6",NA
"01-12-1985","1.3",NA
"01-01-1986","2.7",NA
"01-02-1986","0.9",NA
"01-03-1986","1.5",NA
"01-04-1986","1.4",NA
"01-05-1986","0.7",NA
"01-06-1986","1.3",NA
"01-07-1986"," 1",NA
"01-08-1986","0.6",NA
"01-09-1986","1.5",NA
"01-10-1986","1.5",NA
"01-11-1986","1.4",NA
"01-12-1986","1.5",NA
"01-01-1987"," 2",NA
"01-02-1987","1.7",NA
"01-03-1987","1.6",NA
"01-04-1987","2.4",NA
"01-05-1987","1.5",NA
"01-06-1987","0.7",NA
"01-07-1987","1.7",NA
"01-08-1987","1.4",NA
"01-09-1987","1.9",NA
"01-10-1987","2.4",NA
"01-11-1987","1.9",NA
"01-12-1987","0.3",NA
"01-01-1988","0.7",NA
"01-02-1988","0.4",NA
"01-03-1988","1.9",NA
"01-04-1988","0.8",NA
"01-05-1988","0.5",NA
"01-06-1988","0.6",NA
"01-07-1988","0.1",NA
"01-08-1988","0.8",NA
"01-09-1988","0.9",NA
"01-10-1988","1.5",NA
"01-11-1988","1.9",NA
"01-12-1988","1.9",NA
"01-01-1989","1.1",NA
"01-02-1989","0.1",NA
"01-03-1989","1.9",NA
"01-04-1989"," 1",NA
"01-05-1989","2.0","1.5"
"01-06-1989","1.8","1.3"
"01-07-1989","1.8","1.8"
"01-08-1989","1.0","0.7"
"01-09-1989","2.1","1.6"
"01-10-1989","2.9","1.9"
"01-11-1989","1.7","1.7"
"01-12-1989","2.1","2.5"
"01-01-1990","2.5","2.8"
"01-02-1990","0.3","0.8"
"01-03-1990","2.4","3.6"
"01-04-1990","1.8","2.0"
"01-05-1990","1.5","1.7"
"01-06-1990","2.2","1.8"
"01-07-1990","1.7","1.2"
"01-08-1990","2","1"
"01-09-1990","4.9","2.8"
"01-10-1990","3.8","1.9"
"01-11-1990","0.9","1.5"
"01-12-1990","0.5","2.0"
"01-01-1991","0.4","1.3"
"01-02-1991","0.1","0.6"
"01-03-1991","1.2","2.0"
"01-04-1991","1.8","2.0"
"01-05-1991","2.5","2.3"
"01-06-1991","1.8","1.4"
"01-07-1991","1.8","1.1"
"01-08-1991","1.2","1.1"
"01-09-1991","1.3","0.9"
"01-10-1991","2.9","1.9"
"01-11-1991","0.9","0.8"
"01-12-1991","1.2","1.5"
"01-01-1992","1.1","1.4"
"01-02-1992","-0.6"," 0.8"
"01-03-1992","0.7","1.8"
"01-04-1992","1.3","1.7"
"01-05-1992","1.1","1.2"
"01-06-1992","0.7","0.7"
"01-07-1992","1.1","0.7"
"01-08-1992","1.4","0.9"
"01-09-1992","2.3","1.6"
"01-10-1992","1.4","0.8"
"01-11-1992","1.4","1.1"
"01-12-1992","0.1","0.9"
"01-01-1993","0.2","1.4"
"01-02-1993","0.4","1.4"
"01-03-1993","0.6","1.5"
"01-04-1993","1.4","1.8"
"01-05-1993","1.5","1.1"
"01-06-1993","0.5","0.7"
"01-07-1993","1.0","0.7"
"01-08-1993","2.1","1.1"
"01-09-1993","1.2","0.8"
"01-10-1993","2.6","1.3"
"01-11-1993","0.1","0.6"
"01-12-1993","0.2","1.5"
"01-01-1994","1.0","1.2"
"01-02-1994","0.3","1.2"
"01-03-1994","1.1","1.6"
